linie,statie,cod_statie,conexiune_linii,directie
14_0,FAUR POARTA 4,2375,"14,",down
14_1,BARAJUL ROVINARI,2982,"14, 40,",down
14_2,BARAJUL IEZERU,2983,"14, 40,",down
14_3,BD. BASARABIA,2984,"14, 40,",down
14_4,SOSEAUA MORARILOR,549,"14, 36, 40, 46, 56,",down
14_5,BAIA DE ARAMA,550,"14, 36, 40, 46, 56,",down
14_6,BD. NICOLAE GRIGORESCU,551,"14, 36, 40, 46, 56,",down
14_7,PICTOR HARLESCU,2379,"14, 36, 46,",down
14_8,BD. CHISINAU,387,"14, 36, 46,",down
14_9,SOSEAUA IANCULUI,454,"14, 36,",down
14_10,BAICULUI,995,"14, 36,",down
14_11,BD. FERDINAND,455,"14, 36,",down
14_12,SOSEAUA MIHAI BRAVU,34,"14,",down
14_13,HOREI,456,"14,",down
14_14,BD. PACHE PROTOPOPESCU,1714,"14,",down
14_15,HALA TRAIAN,394,"14,",down
14_16,PIATA SF. STEFAN,3388,"14, 40, 56,",down
14_17,PIATA CORNELIU COPOSU,395,"14, 40, 56,",down
14_18,PIATA SF. VINERI,4035,"14, 40, 56,",down
16_0,PIATA SF. GHEORGHE,185,"5, 16, 21,",up
16_1,HRISTO BOTEV,3001,"5, 16, 21,",up
16_2,BD. CAROL I,186,"5, 16,",up
16_3,BATISTEI,187,"5, 16,",up
16_4,MARIA ROSETTI,1226,"5, 16,",up
16_5,PIATA GEMENI,188,"5, 16,",up
16_6,MIHAI EMINESCU,479,"16,",up
16_7,TOAMNEI,2825,"16,",up
16_8,SOSEAUA STEFAN CEL MARE,480,"16,",up
16_9,REINVIERII,172,"16,",up
16_10,ALEXANDRU CEL BUN,199,"16, 36,",up
16_11,BD. LACUL TEI,481,"16, 36,",up
16_12,TEIUL DOAMNEI,482,"16, 36,",up
16_13,LACUL TEI,483,"16, 36,",up
16_14,STRANDUL TEI,484,"16, 36,",up
16_15,SOSEAUA FABRICA DE GLUCOZA,485,"16, 36,",up
16_16,GELCAP,2925,"16, 36,",up
16_17,ROCIN,486,"16, 36,",up
